Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression Test,Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:45,1m - 29.000s,PASSED
,,,,,,,
Test Cases/Kompas project/TC001 - Login sucess,Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:44,21.249s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:44,2.162s,PASSED
"navigateToUrl(""https://www.kompas.id/"")",Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:44,3.591s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:44,0.137s,PASSED
"click(findTestObject(""Object Repository/kompas/Page_Kompas.id/button_Nanti saja""))",Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:44,2.439s,PASSED
"click(findTestObject(""Object Repository/kompas/Page_Kompas.id/button_tutup_iklan""))",Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:44,0.944s,PASSED
"click(findTestObject(""Object Repository/kompas/Page_Kompas.id/Menu_login""))",Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:44,1.345s,PASSED
"setText(findTestObject(""Object Repository/kompas/Page_Halaman Masuk Akun Kompas.id - Harian Kompas/input_email""), ""om.qa.automation@gmail.com"")",Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:44,2.714s,PASSED
"click(findTestObject(""Object Repository/kompas/Page_Halaman Masuk Akun Kompas.id - Harian Kompas/button_lanjutkan""))",Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:44,0.463s,PASSED
"setEncryptedText(findTestObject(""kompas/Page_Halaman Masuk Akun Kompas.id - Harian Kompas/input_password""), ""ByEIyy8mvbIT7bxYFOPYfw=="")",Chrome 109.0.0.0,,,2/8/2023 20:44,2/8/2023 20:44,1.310s,PASSED
